iter,loss,mbox_loss,lr
225030,0.854387,0.665849,1.00E-06
225530,0.65473,0.525792,1.00E-06
226030,0.762188,0.640633,1.00E-06
226530,0.847744,1.60971,1.00E-06
227030,0.822237,1.11905,1.00E-06
227530,0.719826,0.84253,1.00E-06
228030,0.869054,0.939437,1.00E-06
228530,0.699727,1.05638,1.00E-06
229030,0.708374,0.437544,1.00E-06
229530,0.665433,0.431098,1.00E-06
230030,0.789087,0.651263,1.00E-06
230530,0.852477,0.836166,1.00E-06
231030,0.775864,0.784769,1.00E-06
231530,0.768081,0.817517,1.00E-06
232030,0.723511,0.796426,1.00E-06
232530,0.661584,0.553583,1.00E-06
233030,0.846052,0.610024,1.00E-06
233530,0.822897,0.613804,1.00E-06
234030,0.779471,0.634804,1.00E-06
234530,0.784899,0.829865,1.00E-06
235030,0.836451,0.647359,1.00E-06
235530,0.848347,1.4895,1.00E-06
236030,0.745729,0.597389,1.00E-06
236530,0.830031,0.869114,1.00E-06
237030,0.820157,0.767458,1.00E-06
237530,0.760801,0.630628,1.00E-06
238030,0.71853,0.678326,1.00E-06
238530,0.734323,0.979281,1.00E-06
239030,0.638143,0.784482,1.00E-06
239530,0.8124,0.602611,1.00E-06
240030,0.75048,0.461193,1.00E-06
240530,0.86703,0.878657,1.00E-06
241030,0.963199,0.872602,1.00E-06
241530,0.837709,0.93699,1.00E-06
242030,0.741117,0.548483,1.00E-06
242530,0.800194,1.05706,1.00E-06
243030,0.79495,0.885895,1.00E-06
243530,0.786772,0.711655,1.00E-06
244030,0.700301,0.579026,1.00E-06
244530,0.747086,0.883797,1.00E-06
245030,0.787592,0.870132,1.00E-06
245530,0.780978,0.468553,1.00E-06
246030,0.821135,1.06804,1.00E-06
246530,0.786039,0.841968,1.00E-06
247030,0.753462,0.829223,1.00E-06
247530,0.856753,0.807433,1.00E-06
248030,0.857298,0.792141,1.00E-06
248530,0.623921,0.790448,1.00E-06
249030,0.805762,0.533564,1.00E-06
249530,0.635907,0.569864,1.00E-06
250030,0.73486,1.06802,1.00E-06
250530,0.802008,0.449187,1.00E-06
251030,0.728536,0.637017,1.00E-06
251530,0.780297,1.0199,1.00E-06
252030,0.845729,0.483761,1.00E-06
252530,0.755674,0.778555,1.00E-06
253030,0.743016,0.716364,1.00E-06
253530,0.86868,0.856352,1.00E-06
254030,0.78945,0.713106,1.00E-06
254530,0.715229,0.889059,1.00E-06
255030,0.820506,0.685736,1.00E-06
255530,0.840857,0.744396,1.00E-06
256030,0.841805,0.739749,1.00E-06
256530,0.630163,0.528726,1.00E-06
257030,0.758269,0.621226,1.00E-06
257530,0.759005,0.49584,1.00E-06
258030,0.68592,0.555191,1.00E-06
258530,0.757362,0.539853,1.00E-06
259030,0.791495,0.738253,1.00E-06
259530,0.786193,0.86647,1.00E-06
260030,0.77182,0.973073,1.00E-06
260530,0.687142,0.809264,1.00E-06
261030,0.858248,0.616073,1.00E-06
261530,0.82272,1.63016,1.00E-06
262030,0.704953,0.516511,1.00E-06
262530,0.804706,0.968247,1.00E-06
263030,0.795603,0.466452,1.00E-06
263530,0.773786,0.886392,1.00E-06
264030,0.776801,0.595859,1.00E-06
264530,0.692848,0.58373,1.00E-06
265030,0.78312,0.939055,1.00E-06
265530,0.796499,0.475943,1.00E-06
266030,0.829988,0.569723,1.00E-06
266530,0.762324,0.836668,1.00E-06
267030,0.782464,0.846684,1.00E-06
267530,0.742759,0.910152,1.00E-06
268030,0.731702,0.633803,1.00E-06
268530,0.811654,0.715617,1.00E-06
269030,0.765424,0.904919,1.00E-06
269530,0.807324,0.640826,1.00E-06
270030,0.797907,1.10207,1.00E-06
270530,0.745534,0.678971,1.00E-06
271030,0.825602,1.23985,1.00E-06
271530,0.769757,0.968889,1.00E-06
272030,0.829357,1.21053,1.00E-06
272530,0.729438,0.536853,1.00E-06
273030,0.860137,1.07205,1.00E-06
273530,0.657283,0.61233,1.00E-06
274030,0.74459,0.75619,1.00E-06
274530,0.781434,0.757682,1.00E-06
275030,0.75744,1.19076,1.00E-06
275530,0.782196,0.666694,1.00E-06
276030,0.682095,0.760791,1.00E-06
276530,0.814546,0.523506,1.00E-06
277030,0.841881,0.83435,1.00E-06
277530,0.733117,0.671603,1.00E-06
278030,0.73732,0.851951,1.00E-06
278530,0.673348,0.476265,1.00E-06
279030,0.855875,0.753658,1.00E-06
279530,0.779822,0.552306,1.00E-06
280030,0.754323,0.805882,1.00E-06
280530,0.860211,0.612763,1.00E-06
281030,0.759373,0.965605,1.00E-06
281530,0.8188,0.937757,1.00E-06
282030,0.74072,0.867077,1.00E-06
282530,0.860824,0.884953,1.00E-06
283030,0.75129,0.601296,1.00E-06
283530,0.877323,1.19088,1.00E-06
284030,0.833252,0.642187,1.00E-06
284530,0.901384,1.50243,1.00E-06
285030,0.735896,0.616011,1.00E-06
285530,0.824407,0.596598,1.00E-06
286030,0.766291,0.640394,1.00E-06
286530,0.760021,0.902717,1.00E-06
287030,0.720423,0.645402,1.00E-06
287530,0.778045,0.922024,1.00E-06
288030,0.694824,0.826817,1.00E-06
288530,0.753952,0.864271,1.00E-06
289030,0.86496,1.05497,1.00E-06
289530,0.774807,0.788724,1.00E-06
290030,0.861932,0.651494,1.00E-06
290530,0.808645,1.15255,1.00E-06
291030,0.774713,0.75749,1.00E-06
291530,0.75078,0.665645,1.00E-06
292030,0.756921,0.653106,1.00E-06
292530,0.885098,1.02944,1.00E-06
293030,0.788191,0.8784,1.00E-06
293530,0.726547,0.747833,1.00E-06
294030,0.66092,0.616325,1.00E-06
294530,0.746582,0.585831,1.00E-06
295030,0.748535,0.810928,1.00E-06
295530,0.802376,0.680671,1.00E-06
296030,0.748555,0.92169,1.00E-06
296530,0.778951,0.826567,1.00E-06
297030,0.707894,0.717184,1.00E-06
297530,0.760964,0.785119,1.00E-06
298030,0.778025,1.13084,1.00E-06
298530,0.840272,0.703726,1.00E-06
299030,0.741413,0.945202,1.00E-06
299530,0.759249,0.792218,1.00E-06
300030,0.75738,0.60068,1.00E-06
300530,0.779721,0.554832,1.00E-06
301030,0.769825,0.680973,1.00E-06
301530,0.871883,0.731448,1.00E-06
302030,0.77912,0.774378,1.00E-06
302530,0.859684,1.11288,1.00E-06
303030,0.822015,0.669921,1.00E-06
303530,0.704866,0.786629,1.00E-06
304030,0.711091,0.715916,1.00E-06
304530,0.78452,1.07491,1.00E-06
305030,0.841339,0.582443,1.00E-06
305530,0.743569,0.72807,1.00E-06
306030,0.838166,1.13056,1.00E-06
306530,0.805346,0.574147,1.00E-06
307030,0.783621,0.640898,1.00E-06
307530,0.814746,1.22258,1.00E-06
308030,0.800397,0.795258,1.00E-06
308530,0.878591,0.862696,1.00E-06
309030,0.801957,0.90645,1.00E-06
309530,0.783204,0.718682,1.00E-06
310030,0.712127,0.759046,1.00E-06
310530,0.639071,0.628737,1.00E-06
311030,0.83661,1.41789,1.00E-06
311530,0.760618,0.481492,1.00E-06
312030,0.715643,0.620784,1.00E-06
312530,0.723568,0.602656,1.00E-06
313030,0.779347,0.968289,1.00E-06
313530,0.740991,0.533251,1.00E-06
314030,0.781868,0.549682,1.00E-06
314530,0.753162,0.844744,1.00E-06
315030,0.848358,1.20141,1.00E-06
315530,0.779992,0.892387,1.00E-06
316030,0.823437,1.00587,1.00E-06
316530,0.70519,0.805079,1.00E-06
317030,0.82814,1.57362,1.00E-06
317530,0.82267,0.650817,1.00E-06
318030,0.743029,0.893832,1.00E-06
318530,0.759965,0.931853,1.00E-06
319030,0.96128,0.690061,1.00E-06
319530,0.840391,0.835578,1.00E-06
320030,0.744576,1.15515,1.00E-06
320530,0.850617,0.690843,1.00E-06
321030,0.757093,0.905053,1.00E-06
321530,0.786764,0.799666,1.00E-06
322030,0.691691,0.715311,1.00E-06
322530,0.837232,0.745908,1.00E-06
323030,0.770872,0.705726,1.00E-06
323530,0.724994,1.11006,1.00E-06
324030,0.825646,0.733411,1.00E-06
324530,0.72083,0.639654,1.00E-06
325030,0.803096,0.886133,1.00E-06
325530,0.7397,0.654586,1.00E-06
326030,0.833922,0.852495,1.00E-06
326530,0.773814,1.27295,1.00E-06
327030,0.645897,0.591614,1.00E-06
327530,0.798327,0.851787,1.00E-06
328030,0.882433,0.76645,1.00E-06
328530,0.736166,0.496324,1.00E-06
329030,0.875536,0.981723,1.00E-06
329530,0.872819,0.947582,1.00E-06
330030,0.865871,1.22123,1.00E-06
330530,0.797515,0.599363,1.00E-06
